UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,64,5,600
Rondônia,Masculino,53,8,1800
Rondônia,Masculino,34,16,8000
Rondônia,Feminino,45,5,640
Rondônia,Masculino,33,5,1250
Rondônia,Masculino,65,16,7500
Rondônia,Feminino,30,9,1000
Rondônia,Masculino,28,16,7000
Rondônia,Masculino,51,5,800
Acre,Masculino,57,16,5000
Acre,Feminino,41,1,300
Amazonas,Feminino,50,12,1200
Amazonas,Feminino,54,12,1300
Amazonas,Feminino,33,13,800
Amazonas,Masculino,54,12,10000
Amazonas,Masculino,27,13,800
Amazonas,Masculino,43,12,900
Roraima,Feminino,40,14,3000
Pará,Feminino,33,12,500
Pará,Masculino,32,7,2500
Pará,Feminino,54,12,788
Pará,Feminino,47,11,500
Pará,Masculino,50,16,20000
Pará,Masculino,42,15,1000
Pará,Feminino,61,12,1000
Pará,Feminino,64,16,0
Pará,Masculino,40,9,1500
Pará,Masculino,55,12,2300
Pará,Feminino,47,1,600
Pará,Masculino,56,1,650
Pará,Feminino,38,1,200
Pará,Masculino,59,12,50000
Amapá,Masculino,49,9,1600
Amapá,Masculino,50,1,1000
Amapá,Feminino,30,12,1200
Tocantins,Masculino,49,12,1500
Tocantins,Feminino,43,16,1576
Tocantins,Feminino,26,12,1300
Tocantins,Masculino,46,16,5000
Maranhão,Masculino,56,9,1900
Ceará,Masculino,60,6,788
Ceará,Masculino,39,6,800
Ceará,Feminino,32,12,416
Ceará,Feminino,50,12,2000
Ceará,Feminino,70,5,250
Ceará,Feminino,42,5,100
Ceará,Masculino,64,4,788
Ceará,Masculino,36,15,830
Ceará,Feminino,36,5,500
Ceará,Feminino,31,12,788
Ceará,Feminino,49,13,1576
Ceará,Masculino,32,16,8930
Paraíba,Masculino,34,7,1400
Pernambuco,Masculino,41,16,2000
Pernambuco,Masculino,47,10,800
Pernambuco,Masculino,28,2,788
Pernambuco,Feminino,40,12,1100
Pernambuco,Masculino,42,12,788
Pernambuco,Feminino,35,9,600
Pernambuco,Feminino,58,16,6000
Pernambuco,Masculino,35,12,1400
Pernambuco,Feminino,65,16,8000
Pernambuco,Masculino,51,16,1200
Pernambuco,Feminino,54,6,860
Pernambuco,Feminino,36,4,620
Pernambuco,Masculino,61,16,13000
Pernambuco,Masculino,56,16,5500
Sergipe,Masculino,33,12,1200
Sergipe,Masculino,36,1,250
Sergipe,Feminino,37,6,200
Bahia,Masculino,78,9,2000
Bahia,Masculino,33,9,1400
Bahia,Feminino,45,16,3500
Bahia,Feminino,26,13,1300
Bahia,Feminino,34,5,40
Bahia,Feminino,32,16,990
Minas Gerais,Feminino,59,16,1500
Minas Gerais,Feminino,41,12,3000
Minas Gerais,Feminino,31,16,1184
Minas Gerais,Masculino,28,11,4000
Minas Gerais,Feminino,33,5,850
Minas Gerais,Masculino,33,12,1700
Espírito Santo,Feminino,38,16,4000
Rio de Janeiro,Masculino,52,5,4000
Rio de Janeiro,Masculino,51,9,1400
Rio de Janeiro,Feminino,37,11,900
Rio de Janeiro,Feminino,29,11,788
Rio de Janeiro,Feminino,28,16,3200
Rio de Janeiro,Masculino,36,6,1600
Rio de Janeiro,Masculino,51,12,1520
Rio de Janeiro,Masculino,22,11,1510
Rio de Janeiro,Feminino,35,16,5800
Rio de Janeiro,Feminino,54,16,3000
Rio de Janeiro,Masculino,52,9,2000
Rio de Janeiro,Masculino,34,12,1600
Rio de Janeiro,Masculino,45,16,1600
Rio de Janeiro,Feminino,36,16,7000
Rio de Janeiro,Feminino,38,16,13000
Rio de Janeiro,Feminino,37,16,2400
Rio de Janeiro,Masculino,29,15,1500
Rio de Janeiro,Feminino,40,16,10000
Rio de Janeiro,Feminino,60,12,500
São Paulo,Feminino,53,16,1500
São Paulo,Masculino,37,16,6000
São Paulo,Masculino,64,5,2500
São Paulo,Masculino,68,16,1000
São Paulo,Feminino,52,12,900
São Paulo,Masculino,45,12,788
São Paulo,Masculino,56,12,3000
São Paulo,Masculino,74,7,1500
São Paulo,Masculino,63,12,5000
São Paulo,Masculino,55,16,15000
São Paulo,Masculino,24,12,2000
São Paulo,Feminino,64,5,0
São Paulo,Masculino,60,16,9600
São Paulo,Feminino,35,16,3500
São Paulo,Masculino,37,16,3200
São Paulo,Feminino,39,16,3800
São Paulo,Masculino,35,16,10000
São Paulo,Masculino,40,16,9000
São Paulo,Masculino,42,16,13000
São Paulo,Feminino,58,16,5000
São Paulo,Feminino,33,16,1500
São Paulo,Feminino,59,16,2000
São Paulo,Masculino,71,16,1800
São Paulo,Masculino,27,12,800
São Paulo,Masculino,39,12,2800
