UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Feminino,23,12,1150
Rondônia,Masculino,46,6,3500
Rondônia,Feminino,52,6,1200
Rondônia,Masculino,45,12,2000
Rondônia,Masculino,34,16,6000
Rondônia,Masculino,57,12,2000
Rondônia,Masculino,33,16,1600
Rondônia,Masculino,65,12,1700
Rondônia,Masculino,26,10,1300
Rondônia,Masculino,52,15,2000
Rondônia,Masculino,63,3,1000
Rondônia,Feminino,40,9,1000
Rondônia,Masculino,34,7,900
Rondônia,Masculino,28,10,1500
Rondônia,Masculino,44,1,800
Rondônia,Feminino,38,12,3600
Rondônia,Masculino,41,4,1500
Rondônia,Masculino,41,12,1500
Rondônia,Feminino,46,16,4800
Rondônia,Feminino,45,7,400
Rondônia,Feminino,34,11,1000
Rondônia,Feminino,45,7,600
Rondônia,Masculino,56,6,200
Rondônia,Masculino,27,12,2500
Rondônia,Masculino,49,4,3000
Rondônia,Masculino,39,11,1400
Rondônia,Masculino,36,4,500
Rondônia,Masculino,38,9,600
Rondônia,Masculino,43,9,800
Rondônia,Masculino,42,9,1200
Rondônia,Masculino,51,9,2500
Rondônia,Masculino,46,1,2000
Rondônia,Masculino,25,6,975
Rondônia,Masculino,40,12,1200
Rondônia,Masculino,32,12,1200
Rondônia,Masculino,39,14,4000
Rondônia,Masculino,33,16,2500
Rondônia,Masculino,37,12,2000
Rondônia,Masculino,27,12,1325
Rondônia,Masculino,50,8,1550
Rondônia,Masculino,52,12,20000
Rondônia,Feminino,66,1,1600
Rondônia,Masculino,47,4,788
Rondônia,Masculino,29,11,580
Rondônia,Masculino,55,5,1500
Rondônia,Masculino,55,5,1000
Rondônia,Masculino,56,5,100
Rondônia,Masculino,69,9,0
Rondônia,Masculino,51,4,1000
Rondônia,Masculino,39,9,2000
Rondônia,Masculino,52,5,350
Rondônia,Masculino,48,2,1600
Rondônia,Masculino,73,1,1000
Rondônia,Masculino,49,3,788
Rondônia,Masculino,80,5,2000
Rondônia,Masculino,65,7,6000
Rondônia,Feminino,23,15,1600
Rondônia,Masculino,52,12,1300
Rondônia,Masculino,28,16,3500
Rondônia,Masculino,48,12,2500
Rondônia,Masculino,48,9,4500
Rondônia,Feminino,42,12,1700
Rondônia,Feminino,46,12,4124
Rondônia,Masculino,49,6,900
Rondônia,Masculino,30,16,6000
Rondônia,Masculino,79,12,0
Rondônia,Masculino,36,12,2000
Rondônia,Feminino,36,9,788
Rondônia,Masculino,42,16,3000
Rondônia,Masculino,71,6,1100
Rondônia,Masculino,26,12,1800
Rondônia,Feminino,42,16,2800
Rondônia,Feminino,36,16,9000
Rondônia,Feminino,26,11,1500
Rondônia,Feminino,28,12,3000
Rondônia,Feminino,19,12,2300
Rondônia,Masculino,39,3,2500
Rondônia,Feminino,28,5,430
Rondônia,Masculino,28,9,400
Rondônia,Masculino,49,16,900
Rondônia,Masculino,49,9,400
Rondônia,Masculino,55,3,1000
Rondônia,Feminino,22,16,805
Rondônia,Masculino,35,16,2000
Rondônia,Masculino,29,16,5200
Rondônia,Masculino,48,1,2000
Rondônia,Masculino,49,9,1800
Rondônia,Masculino,62,12,4000
Rondônia,Masculino,41,1,250
Rondônia,Masculino,39,8,800
Rondônia,Masculino,54,5,2500
Rondônia,Masculino,58,1,10000
Rondônia,Masculino,52,7,1200
Rondônia,Masculino,41,12,2700
Rondônia,Feminino,29,14,1000
Rondônia,Feminino,38,7,1300
Rondônia,Masculino,59,1,788
Rondônia,Feminino,60,3,788
Rondônia,Masculino,48,5,2500
Rondônia,Masculino,56,2,788
Rondônia,Feminino,32,9,1020
Rondônia,Masculino,45,12,1000
Rondônia,Masculino,34,12,789
Rondônia,Feminino,36,12,1000
Rondônia,Masculino,49,8,2300
Rondônia,Feminino,17,11,230
Rondônia,Masculino,51,16,2364
Rondônia,Feminino,56,7,500
Rondônia,Masculino,57,3,3650
Rondônia,Masculino,69,1,850
Rondônia,Masculino,31,9,2000
Rondônia,Masculino,41,5,700
Rondônia,Masculino,43,4,750
Rondônia,Masculino,40,5,800
Rondônia,Masculino,42,4,1400
Rondônia,Masculino,38,16,400
Rondônia,Masculino,31,16,3000
Rondônia,Masculino,63,12,3000
Rondônia,Masculino,46,6,1200
Rondônia,Masculino,64,5,2400
Rondônia,Masculino,22,8,1100
Rondônia,Masculino,50,13,2500
Rondônia,Masculino,41,16,2000
Rondônia,Masculino,31,14,3000
Rondônia,Masculino,44,16,5000
Rondônia,Masculino,41,16,3500
Rondônia,Feminino,47,17,788
Rondônia,Feminino,38,8,1000
Rondônia,Masculino,22,9,788
Rondônia,Feminino,21,9,788
Rondônia,Masculino,57,5,1300
Rondônia,Masculino,44,4,1200
Rondônia,Masculino,61,16,10000
Rondônia,Masculino,24,11,2000
Rondônia,Feminino,34,12,789
Rondônia,Feminino,40,14,2800
Rondônia,Masculino,50,9,1000
Rondônia,Masculino,36,5,2000
Rondônia,Masculino,46,9,5000
Rondônia,Masculino,47,12,3000
Rondônia,Masculino,56,16,8000
Rondônia,Masculino,52,9,3000
Rondônia,Masculino,49,5,8500
Rondônia,Masculino,42,2,950
Rondônia,Masculino,36,12,3400
Rondônia,Feminino,46,12,788
Rondônia,Masculino,37,12,788
Rondônia,Masculino,69,1,1182
Rondônia,Masculino,59,13,4000
Rondônia,Feminino,46,16,1700
Rondônia,Feminino,59,9,80
Rondônia,Masculino,42,9,2000
Rondônia,Masculino,39,12,2000
Rondônia,Masculino,59,6,1000
Rondônia,Masculino,46,9,800
Rondônia,Masculino,48,16,5000
Rondônia,Masculino,61,1,1100
Rondônia,Masculino,27,12,1200
Rondônia,Masculino,74,3,1000
Rondônia,Masculino,34,9,3000
Rondônia,Masculino,38,12,2000
Rondônia,Masculino,36,12,600
Rondônia,Masculino,32,9,1400
Rondônia,Feminino,53,6,500
Rondônia,Feminino,35,16,2400
Rondônia,Feminino,40,6,800
Rondônia,Masculino,34,9,1200
Rondônia,Masculino,22,8,2500
Rondônia,Masculino,64,12,1500
Rondônia,Masculino,53,16,1500
Rondônia,Masculino,36,12,1500
Rondônia,Masculino,29,9,1000
Rondônia,Masculino,49,2,2000
Rondônia,Masculino,37,5,1500
Rondônia,Feminino,31,13,1200
Rondônia,Masculino,54,4,500
Rondônia,Masculino,20,7,1200
Rondônia,Masculino,39,5,1500
Rondônia,Masculino,29,16,2400
Rondônia,Masculino,34,5,900
Rondônia,Masculino,65,1,5000
Rondônia,Masculino,48,9,5000
Rondônia,Masculino,57,5,1400
Rondônia,Masculino,43,12,1200
Rondônia,Masculino,50,5,2000
Rondônia,Masculino,46,1,1200
Rondônia,Feminino,41,9,2000
Rondônia,Feminino,45,16,2790
Rondônia,Masculino,50,12,4500
Rondônia,Feminino,44,9,800
Rondônia,Masculino,51,2,7000
Rondônia,Masculino,51,5,788
Rondônia,Masculino,70,9,1800
Rondônia,Masculino,45,9,2000
Rondônia,Masculino,53,12,4000
Rondônia,Feminino,36,12,2000
Rondônia,Masculino,57,7,1024
Rondônia,Masculino,52,6,2000
Rondônia,Masculino,41,4,1200
Rondônia,Masculino,65,1,1200
Rondônia,Masculino,55,5,1300
Rondônia,Masculino,30,11,1100
Rondônia,Feminino,33,14,1300
Rondônia,Masculino,18,6,850
Rondônia,Masculino,53,2,950
Rondônia,Feminino,40,5,0
Rondônia,Masculino,66,3,0
Rondônia,Masculino,79,1,0
Rondônia,Masculino,30,6,1000
Rondônia,Feminino,57,5,0
Rondônia,Masculino,59,9,2200
Rondônia,Masculino,57,9,788
Rondônia,Feminino,54,5,0
Rondônia,Masculino,49,9,2100
Rondônia,Masculino,64,1,1200
Rondônia,Feminino,52,8,1000
Rondônia,Masculino,45,16,2300
Rondônia,Masculino,29,14,1600
Rondônia,Masculino,26,10,2000
Rondônia,Feminino,38,12,3500
Rondônia,Masculino,49,16,7000
Rondônia,Masculino,38,12,3500
Rondônia,Masculino,19,12,1038
Rondônia,Feminino,28,12,960
Rondônia,Feminino,26,12,1800
Rondônia,Feminino,60,9,1200
Rondônia,Masculino,44,12,2000
Rondônia,Masculino,61,5,1000
Rondônia,Masculino,62,7,2000
Rondônia,Masculino,20,12,1200
Rondônia,Masculino,63,5,2000
Rondônia,Masculino,46,6,1700
Rondônia,Masculino,24,12,3800
Rondônia,Feminino,60,1,2500
Rondônia,Masculino,33,9,1045
Rondônia,Feminino,22,16,1600
Rondônia,Masculino,46,16,8000
Rondônia,Masculino,59,5,2000
Rondônia,Masculino,33,12,2500
Rondônia,Masculino,43,12,2500
Rondônia,Masculino,65,7,4500
Rondônia,Feminino,45,7,788
Rondônia,Feminino,49,12,2000
Rondônia,Masculino,40,8,1300
Rondônia,Masculino,59,13,1500
Rondônia,Feminino,55,12,1000
Rondônia,Masculino,58,6,1000
Rondônia,Feminino,56,16,5000
Rondônia,Masculino,48,16,3000
Rondônia,Masculino,46,5,1000
Rondônia,Masculino,61,5,2000
Rondônia,Masculino,26,12,4000
Rondônia,Masculino,30,12,4500
Rondônia,Masculino,26,12,1200
Rondônia,Feminino,43,12,788
Rondônia,Feminino,29,12,350
Rondônia,Feminino,25,12,800
Rondônia,Masculino,65,8,1800
Rondônia,Feminino,43,16,4000
Rondônia,Masculino,54,4,5000
Rondônia,Masculino,24,12,1500
Rondônia,Feminino,28,13,1400
Rondônia,Masculino,38,12,2000
Rondônia,Masculino,40,6,2000
Rondônia,Masculino,55,6,1000
Rondônia,Masculino,21,11,900
Rondônia,Masculino,30,11,1500
Rondônia,Feminino,51,16,3200
Rondônia,Masculino,49,12,3000
Rondônia,Masculino,28,12,1600
Rondônia,Masculino,45,16,1400
Rondônia,Feminino,59,12,3200
Rondônia,Feminino,45,12,800
Rondônia,Masculino,43,12,3500
Rondônia,Feminino,43,11,1500
Rondônia,Feminino,41,15,3500
Rondônia,Feminino,34,16,3500
Rondônia,Masculino,36,12,1900
Rondônia,Masculino,26,14,960
Rondônia,Feminino,32,16,2100
Rondônia,Feminino,43,15,1900
Rondônia,Feminino,29,16,12500
Rondônia,Feminino,53,16,4000
Rondônia,Masculino,66,16,5000
Rondônia,Feminino,33,16,10000
Rondônia,Feminino,38,12,1000
Rondônia,Masculino,31,12,1400
Rondônia,Masculino,45,4,2500
