UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Feminino,23,12,1150
Rondônia,Feminino,35,15,880
Rondônia,Feminino,47,9,150
Rondônia,Feminino,34,12,790
Rondônia,Feminino,60,12,1700
Rondônia,Feminino,50,14,1800
Rondônia,Feminino,46,12,3000
Rondônia,Feminino,49,6,2500
Rondônia,Feminino,52,6,1200
Rondônia,Feminino,43,10,1050
Rondônia,Feminino,62,12,1150
Rondônia,Feminino,41,16,4000
Rondônia,Feminino,44,5,788
Rondônia,Feminino,40,9,1000
Rondônia,Feminino,40,2,300
Rondônia,Feminino,32,12,750
Rondônia,Feminino,38,12,3600
Rondônia,Feminino,46,16,4800
Rondônia,Feminino,46,12,900
Rondônia,Feminino,45,7,400
Rondônia,Feminino,38,7,850
Rondônia,Feminino,32,12,650
Rondônia,Feminino,39,6,300
Rondônia,Feminino,49,5,900
Rondônia,Feminino,34,11,1000
Rondônia,Feminino,38,8,970
Rondônia,Feminino,36,12,1000
Rondônia,Feminino,45,7,600
Rondônia,Feminino,44,10,800
Rondônia,Feminino,33,12,1200
Rondônia,Feminino,29,15,1300
Rondônia,Feminino,46,1,550
Rondônia,Feminino,49,1,1200
Rondônia,Feminino,40,9,850
Rondônia,Feminino,37,11,400
Rondônia,Feminino,49,6,788
Rondônia,Feminino,55,9,380
Rondônia,Feminino,66,1,1600
Rondônia,Feminino,25,12,390
Rondônia,Feminino,54,1,400
Rondônia,Feminino,34,16,900
Rondônia,Feminino,23,15,1600
Rondônia,Feminino,32,12,1400
Rondônia,Feminino,36,12,1400
Rondônia,Feminino,42,12,1700
Rondônia,Feminino,46,12,4124
Rondônia,Feminino,51,12,1500
Rondônia,Feminino,37,11,950
Rondônia,Feminino,32,5,788
Rondônia,Feminino,36,9,788
Rondônia,Feminino,43,12,1100
Rondônia,Feminino,35,16,2150
Rondônia,Feminino,50,6,300
Rondônia,Feminino,42,16,2800
Rondônia,Feminino,36,16,9000
Rondônia,Feminino,26,11,1500
Rondônia,Feminino,28,12,3000
Rondônia,Feminino,30,7,550
Rondônia,Feminino,36,12,1200
Rondônia,Feminino,44,6,900
Rondônia,Feminino,19,12,2300
Rondônia,Feminino,36,16,5000
Rondônia,Feminino,28,5,430
Rondônia,Feminino,36,12,300
Rondônia,Feminino,22,16,805
Rondônia,Feminino,49,12,400
Rondônia,Feminino,32,6,200
Rondônia,Feminino,26,15,1000
Rondônia,Feminino,31,6,500
Rondônia,Feminino,29,14,1000
Rondônia,Feminino,38,7,1300
Rondônia,Feminino,62,10,300
Rondônia,Feminino,60,3,788
Rondônia,Feminino,32,9,1020
Rondônia,Feminino,43,1,600
Rondônia,Feminino,26,12,1920
Rondônia,Feminino,40,7,830
Rondônia,Feminino,36,12,1000
Rondônia,Feminino,39,6,788
Rondônia,Feminino,38,16,1200
Rondônia,Feminino,17,11,230
Rondônia,Feminino,56,7,500
Rondônia,Feminino,45,1,1800
Rondônia,Feminino,38,5,0
Rondônia,Feminino,23,9,300
Rondônia,Feminino,43,10,788
Rondônia,Feminino,38,6,788
Rondônia,Feminino,59,4,1500
Rondônia,Feminino,36,12,800
Rondônia,Feminino,52,12,788
Rondônia,Feminino,38,1,400
Rondônia,Feminino,66,16,2000
Rondônia,Feminino,31,15,300
Rondônia,Feminino,49,12,1300
Rondônia,Feminino,33,10,200
Rondônia,Feminino,23,14,850
Rondônia,Feminino,47,17,788
Rondônia,Feminino,34,10,800
Rondônia,Feminino,38,8,1000
Rondônia,Feminino,33,16,2000
Rondônia,Feminino,46,9,788
Rondônia,Feminino,39,9,100
Rondônia,Feminino,21,9,788
Rondônia,Feminino,26,10,788
Rondônia,Feminino,34,12,789
Rondônia,Feminino,40,14,2800
Rondônia,Feminino,32,13,2000
Rondônia,Feminino,45,16,1150
Rondônia,Feminino,23,7,788
Rondônia,Feminino,59,5,250
Rondônia,Feminino,58,16,2000
Rondônia,Feminino,46,12,788
Rondônia,Feminino,51,12,780
Rondônia,Feminino,38,6,900
Rondônia,Feminino,36,12,788
Rondônia,Feminino,47,13,150
Rondônia,Feminino,46,16,1700
Rondônia,Feminino,59,9,80
Rondônia,Feminino,50,6,2000
Rondônia,Feminino,54,5,788
Rondônia,Feminino,47,5,870
Rondônia,Feminino,37,11,1100
Rondônia,Feminino,34,10,200
Rondônia,Feminino,50,4,788
Rondônia,Feminino,59,9,400
Rondônia,Feminino,59,2,250
Rondônia,Feminino,39,9,788
Rondônia,Feminino,27,1,600
Rondônia,Feminino,53,6,500
Rondônia,Feminino,35,16,2400
Rondônia,Feminino,40,6,800
Rondônia,Feminino,30,5,1400
Rondônia,Feminino,57,10,1000
Rondônia,Feminino,31,13,1200
Rondônia,Feminino,38,9,1500
Rondônia,Feminino,41,9,2000
Rondônia,Feminino,44,9,788
Rondônia,Feminino,56,5,1000
Rondônia,Feminino,45,16,2790
Rondônia,Feminino,45,9,300
Rondônia,Feminino,44,9,800
Rondônia,Feminino,31,12,900
Rondônia,Feminino,44,12,788
Rondônia,Feminino,63,1,788
Rondônia,Feminino,32,16,3000
Rondônia,Feminino,46,6,830
Rondônia,Feminino,40,12,1200
Rondônia,Feminino,36,12,788
Rondônia,Feminino,36,12,2000
Rondônia,Feminino,25,16,3000
Rondônia,Feminino,25,10,1024
Rondônia,Feminino,56,9,1500
Rondônia,Feminino,36,12,4000
Rondônia,Feminino,28,7,788
Rondônia,Feminino,35,6,1050
Rondônia,Feminino,28,16,1300
Rondônia,Feminino,35,12,924
Rondônia,Feminino,33,14,1300
Rondônia,Feminino,53,5,950
Rondônia,Feminino,29,10,150
Rondônia,Feminino,40,5,0
Rondônia,Feminino,57,5,0
Rondônia,Feminino,54,5,0
Rondônia,Feminino,35,16,2800
Rondônia,Feminino,53,9,800
Rondônia,Feminino,27,12,1500
Rondônia,Feminino,39,5,900
Rondônia,Feminino,43,5,500
Rondônia,Feminino,48,5,600
Rondônia,Feminino,41,8,1100
Rondônia,Feminino,44,9,788
Rondônia,Feminino,43,12,1200
Rondônia,Feminino,36,12,1500
Rondônia,Feminino,33,12,2800
Rondônia,Feminino,49,9,2000
Rondônia,Feminino,38,12,788
Rondônia,Feminino,41,15,1800
Rondônia,Feminino,52,8,1000
Rondônia,Feminino,38,12,1700
Rondônia,Feminino,36,12,800
Rondônia,Feminino,48,12,1600
Rondônia,Feminino,62,16,5000
Rondônia,Feminino,38,12,3500
Rondônia,Feminino,58,16,7900
Rondônia,Feminino,49,9,1000
Rondônia,Feminino,52,9,1200
Rondônia,Feminino,39,12,1500
Rondônia,Feminino,28,12,960
Rondônia,Feminino,26,12,1800
Rondônia,Feminino,67,1,350
Rondônia,Feminino,60,9,1200
Rondônia,Feminino,47,16,1800
Rondônia,Feminino,36,8,1000
Rondônia,Feminino,39,13,1200
Rondônia,Feminino,38,16,3000
Rondônia,Feminino,40,12,800
Rondônia,Feminino,37,12,1000
Rondônia,Feminino,60,1,2500
Rondônia,Feminino,22,16,1600
Rondônia,Feminino,46,16,3500
Rondônia,Feminino,47,9,1000
Rondônia,Feminino,43,7,1100
Rondônia,Feminino,45,7,788
Rondônia,Feminino,47,16,6000
Rondônia,Feminino,53,15,3500
Rondônia,Feminino,49,12,2000
Rondônia,Feminino,55,12,1000
Rondônia,Feminino,56,16,5000
Rondônia,Feminino,63,16,1600
Rondônia,Feminino,45,16,6000
Rondônia,Feminino,51,12,2000
Rondônia,Feminino,43,12,1200
Rondônia,Feminino,39,16,1800
Rondônia,Feminino,29,12,788
Rondônia,Feminino,35,13,1720
Rondônia,Feminino,35,12,1570
Rondônia,Feminino,51,16,4500
Rondônia,Feminino,28,9,900
Rondônia,Feminino,25,12,2000
Rondônia,Feminino,43,12,1000
Rondônia,Feminino,49,3,500
Rondônia,Feminino,37,12,840
Rondônia,Feminino,51,16,1900
Rondônia,Feminino,43,12,788
Rondônia,Feminino,54,2,844
Rondônia,Feminino,29,12,350
Rondônia,Feminino,45,9,1000
Rondônia,Feminino,25,12,800
Rondônia,Feminino,34,16,2000
Rondônia,Feminino,28,16,2600
Rondônia,Feminino,61,7,200
Rondônia,Feminino,28,12,600
Rondônia,Feminino,35,9,400
Rondônia,Feminino,43,16,4000
Rondônia,Feminino,53,12,2500
Rondônia,Feminino,27,16,700
Rondônia,Feminino,28,13,1400
Rondônia,Feminino,18,12,1000
Rondônia,Feminino,29,15,1500
Rondônia,Feminino,29,8,950
Rondônia,Feminino,60,1,780
Rondônia,Feminino,48,9,1200
Rondônia,Feminino,40,9,1500
Rondônia,Feminino,47,9,788
Rondônia,Feminino,31,16,2800
Rondônia,Feminino,49,4,800
Rondônia,Feminino,49,12,2200
Rondônia,Feminino,51,16,3200
Rondônia,Feminino,32,16,2500
Rondônia,Feminino,31,10,1200
Rondônia,Feminino,40,16,2400
Rondônia,Feminino,21,13,1150
Rondônia,Feminino,36,13,1050
