UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,23,12,800
Rondônia,Masculino,46,6,3500
Rondônia,Masculino,57,12,3150
Rondônia,Masculino,26,12,1150
Rondônia,Masculino,38,12,2000
Rondônia,Masculino,45,12,2000
Rondônia,Masculino,34,16,6000
Rondônia,Masculino,53,16,7000
Rondônia,Masculino,57,12,2000
Rondônia,Masculino,69,1,3030
Rondônia,Masculino,34,5,788
Rondônia,Masculino,25,12,1000
Rondônia,Masculino,33,9,800
Rondônia,Masculino,33,16,1600
Rondônia,Masculino,65,12,1700
Rondônia,Masculino,33,14,2000
Rondônia,Masculino,32,12,2400
Rondônia,Masculino,43,5,3000
Rondônia,Masculino,30,1,920
Rondônia,Masculino,26,10,1300
Rondônia,Masculino,52,15,2000
Rondônia,Masculino,62,1,1300
Rondônia,Masculino,64,5,600
Rondônia,Masculino,31,7,1200
Rondônia,Masculino,63,3,1000
Rondônia,Masculino,47,9,1500
Rondônia,Masculino,34,7,900
Rondônia,Masculino,33,6,900
Rondônia,Masculino,63,6,0
Rondônia,Masculino,41,6,1600
Rondônia,Masculino,28,10,1500
Rondônia,Masculino,44,1,800
Rondônia,Masculino,41,4,1500
Rondônia,Masculino,62,8,3000
Rondônia,Masculino,37,7,2300
Rondônia,Masculino,41,12,1500
Rondônia,Masculino,41,12,4500
Rondônia,Masculino,60,2,1050
Rondônia,Masculino,49,10,1000
Rondônia,Masculino,73,1,0
Rondônia,Masculino,56,6,200
Rondônia,Masculino,33,4,1400
Rondônia,Masculino,27,12,2500
Rondônia,Masculino,49,4,3000
Rondônia,Masculino,57,2,1100
Rondônia,Masculino,41,17,2000
Rondônia,Masculino,39,11,1400
Rondônia,Masculino,23,5,788
Rondônia,Masculino,39,9,1400
Rondônia,Masculino,35,4,1000
Rondônia,Masculino,30,4,600
Rondônia,Masculino,35,4,788
Rondônia,Masculino,36,4,500
Rondônia,Masculino,37,4,1500
Rondônia,Masculino,60,1,1400
Rondônia,Masculino,38,9,600
Rondônia,Masculino,43,9,800
Rondônia,Masculino,42,9,1200
Rondônia,Masculino,51,9,2500
Rondônia,Masculino,46,1,2000
Rondônia,Masculino,40,9,800
Rondônia,Masculino,25,6,975
Rondônia,Masculino,32,5,1500
Rondônia,Masculino,40,12,1200
Rondônia,Masculino,26,9,1145
Rondônia,Masculino,37,9,1500
Rondônia,Masculino,24,12,1200
Rondônia,Masculino,39,10,1200
Rondônia,Masculino,39,11,900
Rondônia,Masculino,41,2,1200
Rondônia,Masculino,36,9,2500
Rondônia,Masculino,28,12,1100
Rondônia,Masculino,32,12,1200
Rondônia,Masculino,24,12,2500
Rondônia,Masculino,39,14,4000
Rondônia,Masculino,33,16,2500
Rondônia,Masculino,37,12,2000
Rondônia,Masculino,35,12,788
Rondônia,Masculino,24,12,836
Rondônia,Masculino,34,15,1250
Rondônia,Masculino,27,12,1325
Rondônia,Masculino,50,8,1550
Rondônia,Masculino,53,8,1800
Rondônia,Masculino,67,1,1500
Rondônia,Masculino,52,12,20000
Rondônia,Masculino,42,5,3000
Rondônia,Masculino,47,4,788
Rondônia,Masculino,60,9,1400
Rondônia,Masculino,29,11,580
Rondônia,Masculino,55,5,1500
Rondônia,Masculino,55,5,1000
Rondônia,Masculino,56,5,100
Rondônia,Masculino,69,9,0
Rondônia,Masculino,51,4,1000
Rondônia,Masculino,49,3,788
Rondônia,Masculino,61,4,1800
Rondônia,Masculino,37,7,1500
Rondônia,Masculino,39,9,2000
Rondônia,Masculino,52,5,350
Rondônia,Masculino,48,2,1600
Rondônia,Masculino,40,8,1600
Rondônia,Masculino,73,1,1000
Rondônia,Masculino,49,3,788
Rondônia,Masculino,45,16,3000
Rondônia,Masculino,80,5,2000
Rondônia,Masculino,45,12,10000
Rondônia,Masculino,65,7,6000
Rondônia,Masculino,52,12,1300
Rondônia,Masculino,28,16,3500
Rondônia,Masculino,48,12,2500
Rondônia,Masculino,36,12,1700
Rondônia,Masculino,48,9,4500
Rondônia,Masculino,26,12,1200
Rondônia,Masculino,25,13,1000
Rondônia,Masculino,27,12,1200
Rondônia,Masculino,28,12,1600
Rondônia,Masculino,26,11,1500
Rondônia,Masculino,27,11,1500
Rondônia,Masculino,41,16,4000
Rondônia,Masculino,49,6,900
Rondônia,Masculino,32,16,6000
Rondônia,Masculino,41,1,3000
Rondônia,Masculino,30,16,6000
Rondônia,Masculino,79,12,0
Rondônia,Masculino,52,15,2200
Rondônia,Masculino,36,12,2000
Rondônia,Masculino,35,16,4000
Rondônia,Masculino,50,1,1000
Rondônia,Masculino,53,1,1400
Rondônia,Masculino,52,9,1700
Rondônia,Masculino,55,1,1000
Rondônia,Masculino,42,16,3000
Rondônia,Masculino,35,5,1500
Rondônia,Masculino,71,6,1100
Rondônia,Masculino,31,1,1000
Rondônia,Masculino,51,9,1200
Rondônia,Masculino,37,9,2580
Rondônia,Masculino,38,17,1900
Rondônia,Masculino,26,12,1800
Rondônia,Masculino,59,5,1300
Rondônia,Masculino,25,12,788
Rondônia,Masculino,41,5,1440
Rondônia,Masculino,38,5,850
Rondônia,Masculino,32,15,7800
Rondônia,Masculino,45,5,1200
Rondônia,Masculino,29,6,400
Rondônia,Masculino,25,12,1500
Rondônia,Masculino,26,6,1100
Rondônia,Masculino,34,16,8000
Rondônia,Masculino,36,13,1400
Rondônia,Masculino,39,3,2500
Rondônia,Masculino,32,12,1490
Rondônia,Masculino,57,3,2300
Rondônia,Masculino,28,9,400
Rondônia,Masculino,46,10,160
Rondônia,Masculino,49,16,900
Rondônia,Masculino,39,4,688
Rondônia,Masculino,49,9,400
Rondônia,Masculino,55,3,1000
Rondônia,Masculino,60,9,0
Rondônia,Masculino,55,9,8000
Rondônia,Masculino,42,12,6000
Rondônia,Masculino,35,16,2000
Rondônia,Masculino,38,12,850
Rondônia,Masculino,29,16,5200
Rondônia,Masculino,66,2,789
Rondônia,Masculino,48,1,2000
Rondônia,Masculino,34,16,5000
Rondônia,Masculino,49,9,1800
Rondônia,Masculino,62,12,4000
Rondônia,Masculino,28,12,1000
Rondônia,Masculino,41,1,250
Rondônia,Masculino,52,3,800
Rondônia,Masculino,43,12,1600
Rondônia,Masculino,39,8,800
Rondônia,Masculino,37,6,1600
Rondônia,Masculino,67,1,1000
Rondônia,Masculino,54,5,2500
Rondônia,Masculino,77,1,250
Rondônia,Masculino,64,4,1000
Rondônia,Masculino,58,1,10000
Rondônia,Masculino,57,3,1200
Rondônia,Masculino,43,13,1200
Rondônia,Masculino,64,5,3000
Rondônia,Masculino,52,7,1200
Rondônia,Masculino,52,1,2500
Rondônia,Masculino,41,12,2700
Rondônia,Masculino,24,16,1300
