UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,23,12,800
Rondônia,Feminino,35,15,880
Rondônia,Feminino,47,9,150
Rondônia,Feminino,34,12,790
Rondônia,Masculino,57,12,3150
Rondônia,Feminino,60,12,1700
Rondônia,Masculino,26,12,1150
Rondônia,Feminino,46,12,3000
Rondônia,Feminino,49,6,2500
Rondônia,Masculino,38,12,2000
Rondônia,Feminino,43,10,1050
Rondônia,Masculino,53,16,7000
Rondônia,Feminino,62,12,1150
Rondônia,Masculino,69,1,3030
Rondônia,Feminino,41,16,4000
Rondônia,Masculino,34,5,788
Rondônia,Masculino,25,12,1000
Rondônia,Masculino,33,9,800
Rondônia,Feminino,44,5,788
Rondônia,Masculino,33,14,2000
Rondônia,Masculino,32,12,2400
Rondônia,Masculino,43,5,3000
Rondônia,Masculino,30,1,920
Rondônia,Masculino,62,1,1300
Rondônia,Masculino,31,7,1200
Rondônia,Masculino,33,6,900
Rondônia,Masculino,63,6,0
Rondônia,Feminino,40,2,300
Rondônia,Masculino,41,6,1600
Rondônia,Feminino,32,12,750
Rondônia,Masculino,62,8,3000
Rondônia,Masculino,37,7,2300
Rondônia,Masculino,41,12,4500
Rondônia,Feminino,46,12,900
Rondônia,Masculino,60,2,1050
Rondônia,Feminino,38,7,850
Rondônia,Feminino,32,12,650
Rondônia,Feminino,39,6,300
Rondônia,Feminino,49,5,900
Rondônia,Feminino,38,8,970
Rondônia,Masculino,73,1,0
Rondônia,Masculino,33,4,1400
Rondônia,Masculino,57,2,1100
Rondônia,Masculino,41,17,2000
Rondônia,Masculino,23,5,788
Rondônia,Masculino,39,9,1400
Rondônia,Masculino,30,4,600
Rondônia,Masculino,35,4,788
Rondônia,Masculino,37,4,1500
Rondônia,Feminino,33,12,1200
Rondônia,Masculino,40,9,800
Rondônia,Feminino,46,1,550
Rondônia,Masculino,32,5,1500
Rondônia,Feminino,49,1,1200
Rondônia,Masculino,37,9,1500
Rondônia,Feminino,40,9,850
Rondônia,Masculino,39,10,1200
Rondônia,Masculino,39,11,900
Rondônia,Masculino,41,2,1200
Rondônia,Masculino,36,9,2500
Rondônia,Feminino,37,11,400
Rondônia,Feminino,49,6,788
Rondônia,Feminino,55,9,380
Rondônia,Masculino,24,12,836
Rondônia,Masculino,34,15,1250
Rondônia,Masculino,42,5,3000
