UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Feminino,50,14,1800
Rondônia,Masculino,47,9,1500
Rondônia,Feminino,36,12,1000
Rondônia,Masculino,49,10,1000
Rondônia,Feminino,44,10,800
Rondônia,Masculino,35,4,1000
Rondônia,Masculino,60,1,1400
Rondônia,Feminino,29,15,1300
Rondônia,Masculino,26,9,1145
Rondônia,Masculino,24,12,1200
Rondônia,Masculino,28,12,1100
Rondônia,Masculino,24,12,2500
Rondônia,Masculino,35,12,788
Rondônia,Masculino,67,1,1500
Rondônia,Masculino,61,4,1800
Rondônia,Feminino,34,16,900
Rondônia,Masculino,41,1,3000
Rondônia,Masculino,52,9,1700
Rondônia,Masculino,31,1,1000
Rondônia,Masculino,66,2,789
Rondônia,Masculino,28,12,1000
Rondônia,Masculino,57,5,1500
Rondônia,Feminino,40,7,830
Rondônia,Feminino,38,16,1200
Rondônia,Feminino,38,6,788
Rondônia,Masculino,37,9,788
Rondônia,Feminino,33,10,200
Rondônia,Masculino,58,8,1600
Rondônia,Masculino,41,5,800
Rondônia,Masculino,44,9,1500
Rondônia,Feminino,39,9,100
Rondônia,Masculino,40,8,600
Rondônia,Masculino,38,12,2400
Rondônia,Feminino,36,12,788
Rondônia,Feminino,54,5,788
Rondônia,Masculino,61,5,1000
Rondônia,Masculino,37,16,4300
Rondônia,Masculino,57,5,150
Rondônia,Feminino,59,2,250
Rondônia,Feminino,27,1,600
Rondônia,Masculino,34,12,1000
Rondônia,Masculino,59,12,0
Rondônia,Masculino,51,9,2600
Rondônia,Masculino,55,11,2500
Rondônia,Feminino,32,16,3000
Rondônia,Masculino,28,16,1200
Rondônia,Feminino,46,6,830
Rondônia,Masculino,53,4,1500
Rondônia,Masculino,36,12,1500
Rondônia,Masculino,47,5,1200
Rondônia,Masculino,44,1,1300
Rondônia,Feminino,28,16,1300
Rondônia,Masculino,52,1,1500
Rondônia,Masculino,30,12,2300
Rondônia,Masculino,45,11,1100
Rondônia,Masculino,27,7,850
Rondônia,Masculino,37,1,500
Rondônia,Masculino,27,12,1500
Rondônia,Feminino,58,16,7900
Rondônia,Masculino,51,16,22000
Rondônia,Masculino,50,12,1000
Rondônia,Masculino,46,12,2000
Rondônia,Masculino,33,10,2200
Rondônia,Feminino,47,16,1800
Rondônia,Masculino,39,10,2500
Rondônia,Feminino,36,8,1000
Rondônia,Masculino,55,12,2300
Rondônia,Feminino,39,13,1200
Rondônia,Masculino,50,3,1100
Rondônia,Feminino,47,9,1000
Rondônia,Masculino,44,12,1600
Rondônia,Feminino,47,16,6000
Rondônia,Masculino,54,4,2600
Rondônia,Masculino,26,12,1400
Rondônia,Feminino,35,13,1720
Rondônia,Feminino,43,12,1000
Rondônia,Masculino,35,16,10000
Rondônia,Feminino,54,2,844
Rondônia,Masculino,63,1,600
Rondônia,Masculino,42,16,1400
Rondônia,Feminino,53,12,2500
Rondônia,Feminino,27,16,700
Rondônia,Masculino,46,16,3000
Rondônia,Masculino,49,12,2800
Rondônia,Masculino,62,1,1550
Rondônia,Feminino,29,15,1500
Rondônia,Feminino,29,8,950
Rondônia,Masculino,49,12,5000
Rondônia,Feminino,32,16,2500
Rondônia,Masculino,35,11,1680
Rondônia,Masculino,23,16,1050
Rondônia,Masculino,42,6,2500
Rondônia,Masculino,56,16,2800
Rondônia,Feminino,24,16,2500
Rondônia,Masculino,36,7,2000
Rondônia,Masculino,36,12,2000
Rondônia,Masculino,46,12,3800
Rondônia,Feminino,45,11,1800
Rondônia,Masculino,55,4,1000
Rondônia,Masculino,29,16,6000
Rondônia,Masculino,53,5,788
Rondônia,Feminino,44,12,872
Rondônia,Masculino,59,5,3000
Rondônia,Feminino,46,16,1000
Rondônia,Masculino,35,9,788
Rondônia,Masculino,33,8,1000
Rondônia,Masculino,41,5,2200
Rondônia,Masculino,31,9,1100
Rondônia,Feminino,34,16,9000
Rondônia,Feminino,53,10,400
Rondônia,Masculino,48,12,10000
Rondônia,Masculino,37,16,1500
Rondônia,Masculino,36,5,3000
Rondônia,Masculino,45,5,2000
Rondônia,Masculino,48,12,2000
Rondônia,Masculino,48,5,2000
Rondônia,Masculino,33,1,600
Rondônia,Masculino,64,6,1800
Rondônia,Feminino,49,13,500
Rondônia,Masculino,38,6,1300
Rondônia,Masculino,30,9,1100
Rondônia,Feminino,30,14,3000
Rondônia,Masculino,35,9,1300
Rondônia,Masculino,44,16,788
Rondônia,Masculino,20,11,1000
Rondônia,Masculino,41,13,3000
Rondônia,Masculino,54,3,850
Rondônia,Masculino,58,1,600
Rondônia,Masculino,54,1,400
Rondônia,Masculino,30,12,520
Rondônia,Masculino,54,4,788
Rondônia,Masculino,46,16,1300
Rondônia,Masculino,28,8,788
Rondônia,Masculino,36,7,750
Rondônia,Masculino,35,6,500
Rondônia,Masculino,48,2,600
Rondônia,Masculino,32,4,400
Rondônia,Masculino,40,5,1500
Rondônia,Masculino,28,6,1200
Rondônia,Masculino,40,9,1100
Rondônia,Masculino,51,5,0
Rondônia,Masculino,64,6,104
Rondônia,Masculino,55,1,1125
Rondônia,Feminino,33,5,0
Rondônia,Masculino,39,1,1000
Rondônia,Feminino,53,3,0
Rondônia,Feminino,26,16,2300
Rondônia,Masculino,38,7,1200
Rondônia,Masculino,30,12,2700
Rondônia,Feminino,20,5,600
Rondônia,Masculino,50,1,1500
Rondônia,Masculino,25,11,1075
Rondônia,Masculino,27,3,700
Rondônia,Masculino,15,6,400
Rondônia,Masculino,30,8,1000
Rondônia,Masculino,31,6,500
Rondônia,Masculino,26,6,700
Rondônia,Masculino,28,12,1500
Rondônia,Masculino,27,6,1200
Rondônia,Masculino,28,9,1180
Rondônia,Masculino,29,6,1500
Rondônia,Masculino,61,1,0
Rondônia,Masculino,52,1,788
Rondônia,Masculino,28,16,3000
Rondônia,Masculino,46,12,1275
Acre,Masculino,33,12,2000
Acre,Masculino,50,4,970
Acre,Masculino,64,3,0
Acre,Masculino,63,1,2000
Acre,Feminino,42,12,2500
Acre,Masculino,30,14,4000
Acre,Masculino,58,1,700
Acre,Masculino,37,9,1200
Acre,Masculino,38,7,900
Acre,Masculino,22,12,700
Acre,Masculino,51,5,1600
Acre,Feminino,50,1,200
Acre,Masculino,26,7,800
Acre,Masculino,44,12,800
Acre,Feminino,38,12,340
Acre,Masculino,22,11,500
Acre,Masculino,31,16,600
Acre,Feminino,41,9,788
Acre,Masculino,35,16,3600
Acre,Masculino,46,1,724
Acre,Masculino,45,8,2800
Acre,Feminino,40,16,800
Acre,Masculino,37,16,800
Acre,Masculino,32,13,3200
Acre,Feminino,70,1,600
Acre,Feminino,31,12,800
Acre,Masculino,32,5,600
